"Sygnatura czasowa","Nazwa użytkownika","Jak oceniasz jakość tego obrazu w skali (1-5)","Jak oceniasz jakość tego obrazu (1-5)","Jak oceniasz jakość tego obrazu (1-5)","Jak oceniasz jakość tego obrazu (1-5)","Jak oceniasz jakość tego obrazu (1-5)","Jak oceniasz jakość tego obrazu (1-5)","Jak oceniasz jakość tego obrazu (1-5)","Jak oceniasz jakość tego obrazu (1-5)","Jak oceniasz jakość tego obrazu (1-5)","Jak oceniasz jakość tego obrazu (1-5)"
"2022/06/07 6:45:07 PM EET","badany0_0","3","4","3","3","3","5","4","4","5","5"
"2022/06/07 6:46:35 PM EET","badany1_0","2","4","3","2","2","5","3","4","4","4"
"2022/06/07 7:06:13 PM EET","badany0_1","4","4","4","4","4","5","4","4","4","5"
"2022/06/07 7:24:01 PM EET","badany0_2","3","3","3","3","3","5","3","3","4","5"
"2022/06/07 7:25:34 PM EET","badany1_1","2","4","3","3","2","5","4","4","5","5"
"2022/06/07 8:29:04 PM EET","badany2_0","2","4","3","4","2","5","4","3","4","3"
"2022/06/07 8:51:19 PM EET","badany2_1","2","5","3","2","2","5","3","4","5","4"
"2022/06/07 9:04:33 PM EET","badany1_2","2","3","2","3","2","5","3","4","5","5"
"2022/06/07 9:09:37 PM EET","badany2_2","2","4","3","3","3","5","2","4","4","5"
"2022/06/07 9:10:42 PM EET","badany3_0","3","4","2","2","2","5","3","4","4","4"
"2022/06/07 9:26:26 PM EET","badany3_1","2","3","2","2","2","5","3","4","4","5"
"2022/06/07 9:40:06 PM EET","badany3_2","2","4","3","2","2","5","3","4","4","5"
"2022/06/07 10:28:55 PM EET","badany4_0","1","4","2","2","2","4","3","4","4","5"
"2022/06/07 10:33:35 PM EET","badany5_0","2","5","3","3","2","5","4","5","5","3"
"2022/06/07 10:35:53 PM EET","badany4_1","1","4","2","2","3","5","4","5","5","5"
"2022/06/07 10:46:41 PM EET","badany4_2","1","4","2","3","2","5","3","4","4","5"
"2022/06/07 10:50:21 PM EET","badany5_1","2","4","3","3","3","5","4","5","5","5"
"2022/06/07 10:59:47 PM EET","badany5_2","3","5","4","3","3","5","4","4","5","5"
"2022/06/07 11:20:40 PM EET","badany6_0","3","4","3","3","2","5","4","4","5","5"
"2022/06/07 11:44:53 PM EET","badany6_1","3","4","3","2","3","5","3","4","4","5"
"2022/06/07 11:53:53 PM EET","badany6_2","3","4","2","3","2","5","3","5","5","5"