"Sygnatura czasowa","Nazwa użytkownika","Jak oceniasz jakość tego obrazu (1-5)","Jak oceniasz jakość tego obrazu (1-5)","Jak oceniasz jakość tego obrazu (1-5)","Jak oceniasz jakość tego obrazu (1-5)","Jak oceniasz jakość tego obrazu (1-5)","Jak oceniasz jakość tego obrazu (1-5)","Jak oceniasz jakość tego obrazu (1-5)","Jak oceniasz jakość tego obrazu (1-5)","Jak oceniasz jakość tego obrazu (1-5)","Jak oceniasz jakość tego obrazu (1-5)"
"2022/06/07 6:17:12 PM EET","badany0_0","3","2","4","5","2","3","1","2","4","5"
"2022/06/07 6:40:15 PM EET","badany1_0","3","2","3","4","1","4","1","1","5","5"
"2022/06/07 7:05:36 PM EET","badany1_1","4","1","3","4","1","3","1","1","4","5"
"2022/06/07 7:23:37 PM EET","badany1_2","3","1","3","4","1","3","1","1","4","5"
"2022/06/07 7:24:25 PM EET","badany0_1","3","3","3","4","1","4","1","2","5","5"
"2022/06/07 8:28:18 PM EET","badany2_0","3","1","4","3","1","3","1","1","4","5"
"2022/06/07 8:50:31 PM EET","badany2_1","4","1","4","3","1","3","1","2","5","5"
"2022/06/07 9:03:46 PM EET","badany0_2","4","1","4","5","1","4","2","2","5","5"
"2022/06/07 9:08:27 PM EET","badany2_2","3","1","4","3","1","3","2","1","4","5"
"2022/06/07 9:11:24 PM EET","badany3_0","4","2","4","4","1","3","1","2","5","5"
"2022/06/07 9:27:19 PM EET","badany3_1","3","2","4","4","1","3","1","2","5","5"
"2022/06/07 9:40:51 PM EET","badany3_2","4","2","3","5","2","4","1","2","4","5"
"2022/06/07 10:30:04 PM EET","badany4_0","3","2","4","5","2","4","1","2","5","5"
"2022/06/07 10:34:27 PM EET","badany5_0","3","1","4","5","2","5","2","2","5","5"
"2022/06/07 10:39:50 PM EET","badany4_1","3","1","3","5","1","3","2","2","4","4"
"2022/06/07 10:47:22 PM EET","badany4_2","3","1","3","4","1","3","1","1","5","5"
"2022/06/07 10:51:00 PM EET","badany5_1","4","3","4","5","2","5","1","2","5","5"
"2022/06/07 11:00:28 PM EET","badany5_2","3","3","4","5","2","4","1","2","5","5"
"2022/06/07 11:23:18 PM EET","badany6_0","3","2","4","4","1","4","1","1","4","5"
"2022/06/07 11:45:01 PM EET","badany6_1","3","1","4","4","1","3","1","1","5","5"
"2022/06/07 11:54:58 PM EET","badany6_2","3","1","3","4","1","4","1","1","5","5"